underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate,dte,T,moneyness,midpoint,spread_pct
GLD,367.13,call,312.1,2026-08-14,55.29,57.09,56.22,124,586,0.0,0.045,30,0.0821917808219178,0.8501075913164275,56.19,0.032034169781099915
GLD,367.13,call,330.4,2026-08-14,37.54,38.61,38.08,171,928,0.0,0.045,30,0.0821917808219178,0.8999536948764743,38.075,0.02810242941562706
GLD,367.13,call,367.1,2026-08-14,7.69,7.84,7.76,394,2042,0.0,0.045,30,0.0821917808219178,0.9999182850761311,7.765000000000001,0.01931745009658718
GLD,367.13,call,385.5,2026-08-14,1.48,1.52,1.5,263,1388,0.0,0.045,30,0.0821917808219178,1.050036771715741,1.5,0.02666666666666669
GLD,367.13,call,403.8,2026-08-14,0.1,0.12,0.12,163,942,0.0,0.045,30,0.0821917808219178,1.0998828752757879,0.11,0.18181818181818174
GLD,367.13,call,312.1,2026-08-29,55.88,57.7,57.18,120,651,0.0,0.045,45,0.1232876712328767,0.8501075913164275,56.790000000000006,0.032047895756295124
GLD,367.13,call,330.4,2026-08-29,38.35,39.44,38.88,197,949,0.0,0.045,45,0.1232876712328767,0.8999536948764743,38.894999999999996,0.028024167630800782
GLD,367.13,call,348.8,2026-08-29,21.99,22.53,22.34,270,1330,0.0,0.045,45,0.1232876712328767,0.9500721815160843,22.259999999999998,0.024258760107816836
GLD,367.13,call,367.1,2026-08-29,9.39,9.58,9.46,424,1966,0.0,0.045,45,0.1232876712328767,0.9999182850761311,9.485,0.0200316288877174
GLD,367.13,call,385.5,2026-08-29,2.51,2.57,2.53,277,1343,0.0,0.045,45,0.1232876712328767,1.050036771715741,2.54,0.02362204724409451
GLD,367.13,call,403.8,2026-08-29,0.35,0.37,0.36,173,904,0.0,0.045,45,0.1232876712328767,1.0998828752757879,0.36,0.05555555555555561
GLD,367.13,call,312.1,2026-09-13,56.51,58.35,57.61,128,650,0.0,0.045,60,0.1643835616438356,0.8501075913164275,57.43,0.03203900400487556
GLD,367.13,call,330.4,2026-09-13,39.21,40.32,39.76,185,932,0.0,0.045,60,0.1643835616438356,0.8999536948764743,39.765,0.027913994718973958
GLD,367.13,call,348.8,2026-09-13,23.26,23.82,23.59,247,1369,0.0,0.045,60,0.1643835616438356,0.9500721815160843,23.54,0.023789294817332145
GLD,367.13,call,367.1,2026-09-13,10.85,11.07,10.95,406,1947,0.0,0.045,60,0.1643835616438356,0.9999182850761311,10.96,0.020072992700729982
GLD,367.13,call,385.5,2026-09-13,3.49,3.57,3.54,270,1366,0.0,0.045,60,0.1643835616438356,1.050036771715741,3.5300000000000002,0.02266288951841349
GLD,367.13,call,403.8,2026-09-13,0.68,0.7,0.69,171,918,0.0,0.045,60,0.1643835616438356,1.0998828752757879,0.69,0.02898550724637668
GLD,367.13,call,422.2,2026-09-13,0.06,0.08,0.07,98,575,0.0,0.045,60,0.1643835616438356,1.1500013619153977,0.07,0.28571428571428575
GLD,367.13,call,312.1,2026-10-13,57.82,59.7,58.94,136,641,0.0,0.045,90,0.2465753424657534,0.8501075913164275,58.760000000000005,0.03199455411844796
GLD,367.13,call,330.4,2026-10-13,40.96,42.12,41.52,173,887,0.0,0.045,90,0.2465753424657534,0.8999536948764743,41.54,0.027924891670678784
GLD,367.13,call,348.8,2026-10-13,25.58,26.2,25.8,288,1366,0.0,0.045,90,0.2465753424657534,0.9500721815160843,25.89,0.023947470065662457
GLD,367.13,call,367.1,2026-10-13,13.35,13.62,13.46,364,1942,0.0,0.045,90,0.2465753424657534,0.9999182850761311,13.485,0.020022246941045575
GLD,367.13,call,385.5,2026-10-13,5.34,5.47,5.4,263,1341,0.0,0.045,90,0.2465753424657534,1.050036771715741,5.404999999999999,0.02405180388529138
GLD,367.13,call,403.8,2026-10-13,1.5,1.55,1.52,165,859,0.0,0.045,90,0.2465753424657534,1.0998828752757879,1.525,0.03278688524590167
GLD,367.13,call,422.2,2026-10-13,0.26,0.28,0.27,127,586,0.0,0.045,90,0.2465753424657534,1.1500013619153977,0.27,0.07407407407407414
GLD,367.13,put,330.4,2026-08-14,0.12,0.14,0.13,169,898,0.0,0.045,30,0.0821917808219178,0.8999536948764743,0.13,0.15384615384615397
GLD,367.13,put,367.1,2026-08-14,6.31,6.44,6.37,418,1962,0.0,0.045,30,0.0821917808219178,0.9999182850761311,6.375,0.02039215686274522
GLD,367.13,put,385.5,2026-08-14,18.22,18.67,18.43,244,1339,0.0,0.045,30,0.0821917808219178,1.050036771715741,18.445,0.02439685551640026
GLD,367.13,put,403.8,2026-08-14,34.8,35.79,35.38,183,887,0.0,0.045,30,0.0821917808219178,1.0998828752757879,35.295,0.028049298767530866
GLD,367.13,put,422.2,2026-08-14,52.66,54.37,53.36,117,603,0.0,0.045,30,0.0821917808219178,1.1500013619153977,53.515,0.031953657852938445
GLD,367.13,put,330.4,2026-08-29,0.33,0.35,0.34,168,955,0.0,0.045,45,0.1232876712328767,0.8999536948764743,0.33999999999999997,0.0588235294117646
GLD,367.13,put,348.8,2026-08-29,1.98,2.02,2.0,261,1348,0.0,0.045,45,0.1232876712328767,0.9500721815160843,2.0,0.020000000000000018
GLD,367.13,put,367.1,2026-08-29,7.35,7.5,7.44,435,1898,0.0,0.045,45,0.1232876712328767,0.9999182850761311,7.425,0.02020202020202025
GLD,367.13,put,385.5,2026-08-29,18.55,19.0,18.83,268,1368,0.0,0.045,45,0.1232876712328767,1.050036771715741,18.775,0.023968042609853493
GLD,367.13,put,403.8,2026-08-29,34.31,35.28,34.8,164,937,0.0,0.045,45,0.1232876712328767,1.0998828752757879,34.795,0.027877568616180452
GLD,367.13,put,422.2,2026-08-29,51.91,53.6,52.78,128,605,0.0,0.045,45,0.1232876712328767,1.1500013619153977,52.754999999999995,0.032034878210596245
GLD,367.13,put,312.1,2026-09-13,0.09,0.11,0.1,116,617,0.0,0.045,60,0.1643835616438356,0.8501075913164275,0.1,0.20000000000000004
GLD,367.13,put,330.4,2026-09-13,0.59,0.61,0.6,188,885,0.0,0.045,60,0.1643835616438356,0.8999536948764743,0.6,0.03333333333333337
GLD,367.13,put,348.8,2026-09-13,2.61,2.67,2.64,252,1315,0.0,0.045,60,0.1643835616438356,0.9500721815160843,2.6399999999999997,0.02272727272727275
GLD,367.13,put,367.1,2026-09-13,8.14,8.3,8.23,428,1997,0.0,0.045,60,0.1643835616438356,0.9999182850761311,8.22,0.019464720194647216
GLD,367.13,put,385.5,2026-09-13,18.83,19.29,19.11,259,1284,0.0,0.045,60,0.1643835616438356,1.050036771715741,19.06,0.02413431269674716
GLD,367.13,put,403.8,2026-09-13,33.9,34.87,34.37,187,881,0.0,0.045,60,0.1643835616438356,1.0998828752757879,34.385,0.028209975279918538
GLD,367.13,put,422.2,2026-09-13,51.19,52.86,52.09,119,632,0.0,0.045,60,0.1643835616438356,1.1500013619153977,52.025,0.032099951946179754
GLD,367.13,put,312.1,2026-10-13,0.28,0.3,0.29,127,625,0.0,0.045,90,0.2465753424657534,0.8501075913164275,0.29000000000000004,0.06896551724137917
GLD,367.13,put,330.4,2026-10-13,1.15,1.18,1.17,189,895,0.0,0.045,90,0.2465753424657534,0.8999536948764743,1.165,0.02575107296137341
GLD,367.13,put,348.8,2026-10-13,3.67,3.75,3.73,264,1353,0.0,0.045,90,0.2465753424657534,0.9500721815160843,3.71,0.021563342318059318
GLD,367.13,put,367.1,2026-10-13,9.31,9.5,9.39,367,2003,0.0,0.045,90,0.2465753424657534,0.9999182850761311,9.405000000000001,0.020202020202020148
GLD,367.13,put,403.8,2026-10-13,33.27,34.21,33.75,189,921,0.0,0.045,90,0.2465753424657534,1.0998828752757879,33.74,0.027860106698280904
GLD,367.13,put,422.2,2026-10-13,49.87,51.49,50.48,115,644,0.0,0.045,90,0.2465753424657534,1.1500013619153977,50.68,0.0319652722967641
