underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate,dte,T,moneyness,midpoint,spread_pct
JETS,32.09,call,25.7,2026-08-14,6.36,6.59,6.48,83,362,0.007,0.045,30,0.0821917808219178,0.8008725459644748,6.475,0.03552123552123545
JETS,32.09,call,27.3,2026-08-14,4.85,5.01,4.91,95,563,0.007,0.045,30,0.0821917808219178,0.8507323153630414,4.93,0.03245436105476676
JETS,32.09,call,28.9,2026-08-14,3.42,3.51,3.47,163,936,0.007,0.045,30,0.0821917808219178,0.9005920847616078,3.465,0.025974025974025934
JETS,32.09,call,30.5,2026-08-14,2.17,2.22,2.2,271,1377,0.007,0.045,30,0.0821917808219178,0.9504518541601744,2.1950000000000003,0.022779043280182352
JETS,32.09,call,32.1,2026-08-14,1.2,1.22,1.21,406,2016,0.007,0.045,30,0.0821917808219178,1.000311623558741,1.21,0.016528925619834725
JETS,32.09,call,33.7,2026-08-14,0.55,0.57,0.56,261,1331,0.007,0.045,30,0.0821917808219178,1.0501713929573075,0.56,0.035714285714285546
JETS,32.09,call,35.3,2026-08-14,0.21,0.23,0.22,179,908,0.007,0.045,30,0.0821917808219178,1.1000311623558738,0.22,0.090909090909091
JETS,32.09,call,36.9,2026-08-14,0.06,0.08,0.06,119,587,0.007,0.045,30,0.0821917808219178,1.1498909317544406,0.07,0.28571428571428575
JETS,32.09,call,25.7,2026-08-29,6.43,6.66,6.59,71,400,0.007,0.045,45,0.1232876712328767,0.8008725459644748,6.545,0.03514132925897638
JETS,32.09,call,27.3,2026-08-29,4.96,5.12,5.02,113,645,0.007,0.045,45,0.1232876712328767,0.8507323153630414,5.04,0.03174603174603177
JETS,32.09,call,28.9,2026-08-29,3.59,3.7,3.65,192,870,0.007,0.045,45,0.1232876712328767,0.9005920847616078,3.645,0.03017832647462286
JETS,32.09,call,30.5,2026-08-29,2.41,2.47,2.44,299,1299,0.007,0.045,45,0.1232876712328767,0.9504518541601744,2.4400000000000004,0.024590163934426246
JETS,32.09,call,32.1,2026-08-29,1.46,1.49,1.47,388,2028,0.007,0.045,45,0.1232876712328767,1.000311623558741,1.475,0.020338983050847474
JETS,32.09,call,36.9,2026-08-29,0.14,0.16,0.16,137,616,0.007,0.045,45,0.1232876712328767,1.1498909317544406,0.15000000000000002,0.13333333333333325
JETS,32.09,call,38.5,2026-08-29,0.04,0.06,0.05,88,426,0.007,0.045,45,0.1232876712328767,1.199750701153007,0.05,0.3999999999999999
JETS,32.09,call,25.7,2026-09-13,6.5,6.74,6.67,95,442,0.007,0.045,60,0.1643835616438356,0.8008725459644748,6.62,0.03625377643504535
JETS,32.09,call,27.3,2026-09-13,5.08,5.24,5.17,119,584,0.007,0.045,60,0.1643835616438356,0.8507323153630414,5.16,0.031007751937984523
JETS,32.09,call,28.9,2026-09-13,3.76,3.87,3.82,184,898,0.007,0.045,60,0.1643835616438356,0.9005920847616078,3.815,0.02883355176933167
JETS,32.09,call,30.5,2026-09-13,2.62,2.68,2.64,259,1332,0.007,0.045,60,0.1643835616438356,0.9504518541601744,2.6500000000000004,0.02264150943396228
JETS,32.09,call,32.1,2026-09-13,1.69,1.72,1.7,423,1953,0.007,0.045,60,0.1643835616438356,1.000311623558741,1.705,0.01759530791788858
JETS,32.09,call,33.7,2026-09-13,0.99,1.02,1.0,258,1324,0.007,0.045,60,0.1643835616438356,1.0501713929573075,1.005,0.029850746268656747
JETS,32.09,call,35.3,2026-09-13,0.52,0.54,0.54,185,941,0.007,0.045,60,0.1643835616438356,1.1000311623558738,0.53,0.03773584905660381
JETS,32.09,call,36.9,2026-09-13,0.24,0.26,0.25,144,587,0.007,0.045,60,0.1643835616438356,1.1498909317544406,0.25,0.08000000000000007
