underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate,dte,T,moneyness,midpoint,spread_pct
SPY,751.83,call,601.5,2026-08-14,149.08,154.54,151.11,89,425,0.012,0.045,30,0.0821917808219178,0.8000478831650771,151.81,0.03596601014425914
SPY,751.83,call,639.1,2026-08-14,112.54,116.2,114.81,126,614,0.012,0.045,30,0.0821917808219178,0.8500591889123871,114.37,0.032001398968260875
SPY,751.83,call,714.2,2026-08-14,42.16,43.19,42.78,258,1353,0.012,0.045,30,0.0821917808219178,0.9499487916151258,42.675,0.024135910954891652
SPY,751.83,call,751.8,2026-08-14,16.18,16.5,16.38,398,2059,0.012,0.045,30,0.0821917808219178,0.9999600973624355,16.34,0.019583843329253385
SPY,751.83,call,789.4,2026-08-14,3.46,3.54,3.51,296,1300,0.012,0.045,30,0.0821917808219178,1.0499714031097456,3.5,0.022857142857142878
SPY,751.83,call,827.0,2026-08-14,0.32,0.34,0.33,189,874,0.012,0.045,30,0.0821917808219178,1.0999827088570553,0.33,0.060606060606060656
SPY,751.83,call,601.5,2026-08-29,149.81,155.3,152.43,85,352,0.012,0.045,45,0.1232876712328767,0.8000478831650771,152.555,0.03598702107436668
SPY,751.83,call,639.1,2026-08-29,113.44,117.12,115.04,120,637,0.012,0.045,45,0.1232876712328767,0.8500591889123871,115.28,0.03192227619708542
SPY,751.83,call,676.6,2026-08-29,77.74,79.94,78.72,191,852,0.012,0.045,45,0.1232876712328767,0.8999374858678159,78.84,0.02790461694571287
SPY,751.83,call,751.8,2026-08-29,19.66,20.05,19.87,376,2009,0.012,0.045,45,0.1232876712328767,0.9999600973624355,19.855,0.019642407454041833
SPY,751.83,call,789.4,2026-08-29,5.68,5.82,5.75,266,1383,0.012,0.045,45,0.1232876712328767,1.0499714031097456,5.75,0.024347826086956622
SPY,751.83,call,827.0,2026-08-29,0.93,0.96,0.94,183,873,0.012,0.045,45,0.1232876712328767,1.0999827088570553,0.9450000000000001,0.031746031746031654
SPY,751.83,call,864.6,2026-08-29,0.06,0.08,0.08,112,614,0.012,0.045,45,0.1232876712328767,1.1499940146043652,0.07,0.28571428571428575
SPY,751.83,call,601.5,2026-09-13,150.56,156.08,153.43,90,442,0.012,0.045,60,0.1643835616438356,0.8000478831650771,153.32,0.03600313070701807
SPY,751.83,call,639.1,2026-09-13,114.41,118.13,116.01,114,625,0.012,0.045,60,0.1643835616438356,0.8500591889123871,116.27,0.0319944955706545
SPY,751.83,call,676.6,2026-09-13,79.29,81.54,80.46,201,906,0.012,0.045,60,0.1643835616438356,0.8999374858678159,80.415,0.027979854504756572
SPY,751.83,call,714.2,2026-09-13,47.36,48.51,47.77,270,1353,0.012,0.045,60,0.1643835616438356,0.9499487916151258,47.935,0.02399082090330653
SPY,751.83,call,751.8,2026-09-13,22.58,23.04,22.79,409,2084,0.012,0.045,60,0.1643835616438356,0.9999600973624355,22.81,0.020166593599298593
SPY,751.83,call,789.4,2026-09-13,7.76,7.94,7.84,274,1285,0.012,0.045,60,0.1643835616438356,1.0499714031097456,7.85,0.022929936305732562
SPY,751.83,call,864.6,2026-09-13,0.21,0.23,0.22,124,566,0.012,0.045,60,0.1643835616438356,1.1499940146043652,0.22,0.090909090909091
SPY,751.83,call,601.5,2026-10-13,152.15,157.73,155.11,84,390,0.012,0.045,90,0.2465753424657534,0.8000478831650771,154.94,0.03601394088034068
SPY,751.83,call,639.1,2026-10-13,116.55,120.34,118.16,118,580,0.012,0.045,90,0.2465753424657534,0.8500591889123871,118.445,0.03199797374308756
