underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate,dte,T,moneyness,midpoint,spread_pct
USO,120.17,call,102.1,2026-08-14,18.52,19.12,18.73,108,623,0.0,0.045,30,0.0821917808219178,0.8496296912706998,18.82,0.031880977683315694
USO,120.17,call,108.2,2026-08-14,13.24,13.62,13.44,185,878,0.0,0.045,30,0.0821917808219178,0.9003911125904968,13.43,0.028294862248696873
USO,120.17,call,114.2,2026-08-14,8.75,8.96,8.84,279,1327,0.0,0.045,30,0.0821917808219178,0.9503203794624282,8.855,0.02371541501976294
USO,120.17,call,120.2,2026-08-14,5.21,5.31,5.25,404,1990,0.0,0.045,30,0.0821917808219178,1.0002496463343598,5.26,0.019011406844106397
USO,120.17,call,126.2,2026-08-14,2.73,2.8,2.76,269,1245,0.0,0.045,30,0.0821917808219178,1.050178913206291,2.7649999999999997,0.025316455696202476
USO,120.17,call,132.2,2026-08-14,1.25,1.28,1.26,194,931,0.0,0.045,30,0.0821917808219178,1.1001081800782224,1.2650000000000001,0.023715415019762865
USO,120.17,call,138.2,2026-08-14,0.49,0.51,0.5,118,564,0.0,0.045,30,0.0821917808219178,1.1500374469501538,0.5,0.040000000000000036
USO,120.17,call,144.2,2026-08-14,0.15,0.17,0.16,84,405,0.0,0.045,30,0.0821917808219178,1.1999667138220853,0.16,0.1250000000000001
USO,120.17,call,102.1,2026-08-29,19.1,19.72,19.4,113,591,0.0,0.045,45,0.1232876712328767,0.8496296912706998,19.41,0.03194229778464696
USO,120.17,call,108.2,2026-08-29,14.09,14.49,14.31,185,887,0.0,0.045,45,0.1232876712328767,0.9003911125904968,14.29,0.027991602519244253
USO,120.17,call,114.2,2026-08-29,9.82,10.06,9.92,265,1281,0.0,0.045,45,0.1232876712328767,0.9503203794624282,9.940000000000001,0.02414486921529177
USO,120.17,call,120.2,2026-08-29,6.37,6.5,6.41,405,2045,0.0,0.045,45,0.1232876712328767,1.0002496463343598,6.4350000000000005,0.020202020202020183
USO,120.17,call,126.2,2026-08-29,3.79,3.88,3.83,258,1294,0.0,0.045,45,0.1232876712328767,1.050178913206291,3.835,0.023468057366362413
USO,120.17,call,132.2,2026-08-29,2.05,2.11,2.07,194,863,0.0,0.045,45,0.1232876712328767,1.1001081800782224,2.08,0.028846153846153872
USO,120.17,call,144.2,2026-08-29,0.43,0.45,0.45,75,413,0.0,0.045,45,0.1232876712328767,1.1999667138220853,0.44,0.0454545454545455
USO,120.17,call,102.1,2026-09-13,19.69,20.33,19.99,124,616,0.0,0.045,60,0.1643835616438356,0.8496296912706998,20.009999999999998,0.03198400799600185
