underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate,dte,T,moneyness,midpoint,spread_pct
XLE,56.95,call,45.6,2026-08-14,11.2,11.61,11.36,94,360,0.0277,0.045,30,0.0821917808219178,0.800702370500439,11.405,0.03594914511179309
XLE,56.95,call,48.4,2026-08-14,8.53,8.81,8.69,115,615,0.0277,0.045,30,0.0821917808219178,0.8498683055311677,8.67,0.03229527104959644
XLE,56.95,call,51.3,2026-08-14,5.91,6.08,5.97,178,878,0.0277,0.045,30,0.0821917808219178,0.9007901668129937,5.995,0.028356964136780637
XLE,56.95,call,54.1,2026-08-14,3.69,3.78,3.75,293,1318,0.0277,0.045,30,0.0821917808219178,0.9499561018437226,3.735,0.024096385542168638
XLE,56.95,call,57.0,2026-08-14,1.93,1.97,1.95,364,2021,0.0277,0.045,30,0.0821917808219178,1.0008779631255487,1.95,0.02051282051282053
XLE,56.95,call,59.8,2026-08-14,0.85,0.87,0.86,257,1306,0.0277,0.045,30,0.0821917808219178,1.0500438981562774,0.86,0.023255813953488393
XLE,56.95,call,62.6,2026-08-14,0.29,0.31,0.3,169,887,0.0277,0.045,30,0.0821917808219178,1.0992098331870062,0.3,0.06666666666666674
XLE,56.95,call,65.5,2026-08-14,0.07,0.09,0.08,134,614,0.0277,0.045,30,0.0821917808219178,1.1501316944688322,0.08,0.24999999999999986
XLE,56.95,call,45.6,2026-08-29,11.25,11.67,11.41,83,426,0.0277,0.045,45,0.1232876712328767,0.800702370500439,11.46,0.036649214659685854
XLE,56.95,call,48.4,2026-08-29,8.66,8.94,8.79,106,617,0.0277,0.045,45,0.1232876712328767,0.8498683055311677,8.8,0.031818181818181746
XLE,56.95,call,51.3,2026-08-29,6.15,6.33,6.25,171,836,0.0277,0.045,45,0.1232876712328767,0.9007901668129937,6.24,0.0288461538461538
XLE,56.95,call,54.1,2026-08-29,4.05,4.15,4.1,256,1387,0.0277,0.045,45,0.1232876712328767,0.9499561018437226,4.1,0.024390243902439157
XLE,56.95,call,57.0,2026-08-29,2.35,2.39,2.37,357,1923,0.0277,0.045,45,0.1232876712328767,1.0008779631255487,2.37,0.016877637130801704
XLE,56.95,call,59.8,2026-08-29,1.21,1.24,1.23,283,1321,0.0277,0.045,45,0.1232876712328767,1.0500438981562774,1.225,0.024489795918367366
XLE,56.95,call,62.6,2026-08-29,0.53,0.55,0.54,198,906,0.0277,0.045,45,0.1232876712328767,1.0992098331870062,0.54,0.03703703703703707
XLE,56.95,call,65.5,2026-08-29,0.18,0.2,0.19,124,577,0.0277,0.045,45,0.1232876712328767,1.1501316944688322,0.19,0.10526315789473693
XLE,56.95,call,68.3,2026-08-29,0.05,0.07,0.06,64,429,0.0277,0.045,45,0.1232876712328767,1.199297629499561,0.060000000000000005,0.33333333333333337
XLE,56.95,call,48.4,2026-09-13,8.81,9.09,8.93,118,569,0.0277,0.045,60,0.1643835616438356,0.8498683055311677,8.95,0.03128491620111725
XLE,56.95,call,51.3,2026-09-13,6.39,6.57,6.49,193,877,0.0277,0.045,60,0.1643835616438356,0.9007901668129937,6.48,0.02777777777777787
XLE,56.95,call,54.1,2026-09-13,4.37,4.47,4.42,280,1319,0.0277,0.045,60,0.1643835616438356,0.9499561018437226,4.42,0.02262443438914019
XLE,56.95,call,57.0,2026-09-13,2.69,2.75,2.72,387,1933,0.0277,0.045,60,0.1643835616438356,1.0008779631255487,2.7199999999999998,0.022058823529411787
XLE,56.95,call,59.8,2026-09-13,1.52,1.55,1.53,253,1315,0.0277,0.045,60,0.1643835616438356,1.0500438981562774,1.5350000000000001,0.019543973941368094
XLE,56.95,call,62.6,2026-09-13,0.76,0.78,0.77,167,905,0.0277,0.045,60,0.1643835616438356,1.0992098331870062,0.77,0.025974025974025997
XLE,56.95,call,65.5,2026-09-13,0.32,0.34,0.33,118,568,0.0277,0.045,60,0.1643835616438356,1.1501316944688322,0.33,0.060606060606060656
XLE,56.95,call,68.3,2026-09-13,0.11,0.13,0.12,68,412,0.0277,0.045,60,0.1643835616438356,1.199297629499561,0.12,0.1666666666666667
XLE,56.95,call,45.6,2026-10-13,11.52,11.94,11.77,76,423,0.0277,0.045,90,0.2465753424657534,0.800702370500439,11.73,0.035805626598465465
XLE,56.95,call,48.4,2026-10-13,9.11,9.41,9.28,113,611,0.0277,0.045,90,0.2465753424657534,0.8498683055311677,9.26,0.03239740820734349
XLE,56.95,call,51.3,2026-10-13,6.83,7.02,6.91,198,926,0.0277,0.045,90,0.2465753424657534,0.9007901668129937,6.925,0.02743682310469307
