underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate,dte,T,moneyness,midpoint,spread_pct
XLY,115.9,call,98.5,2026-08-18,17.44,18.01,17.7,124,574,0.0078,0.045,30,0.0821917808219178,0.8498705780845556,17.725,0.03215796897038083
XLY,115.9,call,104.3,2026-08-18,11.98,12.32,12.16,194,913,0.0078,0.045,30,0.0821917808219178,0.899913718723037,12.15,0.027983539094650192
XLY,115.9,call,110.1,2026-08-18,7.05,7.22,7.13,295,1351,0.0078,0.045,30,0.0821917808219178,0.9499568593615184,7.135,0.023826208829712675
XLY,115.9,call,115.9,2026-08-18,3.3,3.36,3.33,404,1976,0.0078,0.045,30,0.0821917808219178,1.0,3.33,0.018018018018018035
XLY,115.9,call,121.7,2026-08-18,1.12,1.15,1.13,244,1351,0.0078,0.045,30,0.0821917808219178,1.0500431406384814,1.135,0.026431718061673836
XLY,115.9,call,127.5,2026-08-18,0.25,0.27,0.26,190,878,0.0078,0.045,30,0.0821917808219178,1.100086281276963,0.26,0.07692307692307698
XLY,115.9,call,98.5,2026-09-02,17.67,18.24,18.03,115,646,0.0078,0.045,45,0.1232876712328767,0.8498705780845556,17.955,0.031746031746031564
XLY,115.9,call,104.3,2026-09-02,12.37,12.72,12.56,164,903,0.0078,0.045,45,0.1232876712328767,0.899913718723037,12.545,0.027899561578318167
XLY,115.9,call,110.1,2026-09-02,7.67,7.85,7.75,246,1329,0.0078,0.045,45,0.1232876712328767,0.9499568593615184,7.76,0.023195876288659757
XLY,115.9,call,115.9,2026-09-02,4.02,4.1,4.06,368,1957,0.0078,0.045,45,0.1232876712328767,1.0,4.06,0.019704433497536967
XLY,115.9,call,127.5,2026-09-02,0.53,0.55,0.54,196,920,0.0078,0.045,45,0.1232876712328767,1.100086281276963,0.54,0.03703703703703707
XLY,115.9,call,133.3,2026-09-02,0.11,0.13,0.12,119,583,0.0078,0.045,45,0.1232876712328767,1.1501294219154443,0.12,0.1666666666666667
XLY,115.9,call,104.3,2026-09-17,12.76,13.12,12.94,190,923,0.0078,0.045,60,0.1643835616438356,0.899913718723037,12.94,0.027820710973724842
XLY,115.9,call,110.1,2026-09-17,8.21,8.41,8.31,266,1308,0.0078,0.045,60,0.1643835616438356,0.9499568593615184,8.31,0.02406738868832723
XLY,115.9,call,115.9,2026-09-17,4.63,4.72,4.66,416,2045,0.0078,0.045,60,0.1643835616438356,1.0,4.675,0.019251336898395692
