underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate
GLD,367.13,call,257.0,2026-07-26,105.17,115.54,109.04,37,176,0.0,0.045
GLD,367.13,put,257.0,2026-07-26,0.0,0.02,0.01,39,175,0.0,0.045
GLD,367.13,call,275.3,2026-07-26,87.92,96.21,93.14,62,232,0.0,0.045
GLD,367.13,put,275.3,2026-07-26,0.0,0.02,0.01,53,248,0.0,0.045
GLD,367.13,call,293.7,2026-07-26,70.51,76.85,73.91,88,374,0.0,0.045
GLD,367.13,put,293.7,2026-07-26,0.0,0.02,0.01,79,393,0.0,0.045
GLD,367.13,call,312.1,2026-07-26,53.03,57.57,55.57,119,639,0.0,0.045
GLD,367.13,put,312.1,2026-07-26,0.0,0.02,0.01,136,634,0.0,0.045
GLD,367.13,call,330.4,2026-07-26,35.57,38.46,37.04,152,924,0.0,0.045
GLD,367.13,put,330.4,2026-07-26,0.0,0.02,0.01,187,876,0.0,0.045
GLD,367.13,call,348.8,2026-07-26,18.01,19.39,18.83,257,1333,0.0,0.045
GLD,367.13,put,348.8,2026-07-26,0.06,0.08,0.07,274,1351,0.0,0.045
GLD,367.13,call,367.1,2026-07-26,3.63,3.89,3.75,0,0,0.0,0.045
GLD,367.13,put,367.1,2026-07-26,3.29,3.53,3.4,401,2008,0.0,0.045
GLD,367.13,call,385.5,2026-07-26,0.06,0.08,0.06,286,1365,0.0,0.045
GLD,367.13,put,385.5,2026-07-26,17.43,18.77,18.29,269,1307,0.0,0.045
GLD,367.13,call,403.8,2026-07-26,0.0,0.02,0.01,194,971,0.0,0.045
GLD,367.13,put,403.8,2026-07-26,34.91,37.74,36.84,172,925,0.0,0.045
GLD,367.13,call,422.2,2026-07-26,0.0,0.02,0.01,119,608,0.0,0.045
GLD,367.13,put,422.2,2026-07-26,52.46,56.95,53.61,150,608,0.0,0.045
GLD,367.13,call,440.6,2026-07-26,0.0,0.02,0.01,82,416,0.0,0.045
GLD,367.13,put,440.6,2026-07-26,69.95,76.23,72.87,92,421,0.0,0.045
GLD,367.13,call,458.9,2026-07-26,0.0,0.02,0.01,47,242,0.0,0.045
GLD,367.13,put,458.9,2026-07-26,87.26,95.49,91.52,51,255,0.0,0.045
GLD,367.13,call,477.3,2026-07-26,0.0,0.02,0.01,42,175,0.0,0.045
GLD,367.13,put,477.3,2026-07-26,104.6,114.92,109.92,46,192,0.0,0.045
GLD,367.13,call,257.0,2026-08-02,108.14,113.01,110.5,31,170,0.0,0.045
GLD,367.13,put,257.0,2026-08-02,0.0,0.02,0.01,47,163,0.0,0.045
GLD,367.13,call,275.3,2026-08-02,90.46,94.15,92.23,51,280,0.0,0.045
GLD,367.13,put,275.3,2026-08-02,0.0,0.02,0.01,61,258,0.0,0.045
GLD,367.13,call,293.7,2026-08-02,72.61,75.27,73.95,63,443,0.0,0.045
GLD,367.13,put,293.7,2026-08-02,0.0,0.02,0.01,73,382,0.0,0.045
GLD,367.13,call,312.1,2026-08-02,54.68,56.46,55.44,107,631,0.0,0.045
GLD,367.13,put,312.1,2026-08-02,0.0,0.02,0.01,117,613,0.0,0.045
GLD,367.13,call,330.4,2026-08-02,36.78,37.83,37.22,180,894,0.0,0.045
GLD,367.13,put,330.4,2026-08-02,0.0,0.02,0.01,173,920,0.0,0.045
GLD,367.13,call,348.8,2026-08-02,19.08,19.54,19.32,277,1387,0.0,0.045
GLD,367.13,put,348.8,2026-08-02,0.37,0.39,0.38,242,1334,0.0,0.045
GLD,367.13,call,367.1,2026-08-02,5.27,5.37,5.33,443,1958,0.0,0.045
GLD,367.13,put,367.1,2026-08-02,4.61,4.7,4.65,405,1958,0.0,0.045
GLD,367.13,call,385.5,2026-08-02,0.39,0.41,0.4,234,1371,0.0,0.045
GLD,367.13,put,385.5,2026-08-02,17.89,18.33,18.08,261,1384,0.0,0.045
GLD,367.13,call,403.8,2026-08-02,0.0,0.02,0.01,169,866,0.0,0.045
GLD,367.13,put,403.8,2026-08-02,35.47,36.48,35.89,173,878,0.0,0.045
GLD,367.13,call,422.2,2026-07-19,0.0,0.02,0.01,132,584,0.0,0.045
GLD,367.13,put,422.2,2026-08-02,53.47,55.21,54.12,103,645,0.0,0.045
GLD,367.13,call,440.6,2026-08-02,0.0,0.08,0.01,87,367,0.0,0.045
GLD,367.13,put,440.6,2026-08-02,71.4,74.02,72.86,87,413,0.0,0.045
GLD,367.13,call,458.9,2026-08-02,0.0,0.02,0.01,58,266,0.0,0.045
GLD,367.13,put,458.9,2026-08-02,89.16,92.8,91.25,51,273,0.0,0.045
GLD,367.13,call,477.3,2026-08-02,0.0,0.02,0.01,43,193,0.0,0.045
GLD,367.13,put,477.3,2026-08-02,106.94,111.75,108.61,34,172,0.0,0.045
GLD,367.13,call,257.0,2026-08-18,108.64,113.52,111.01,28,174,0.0,0.045
GLD,367.13,put,257.0,2026-08-18,0.0,0.02,0.01,39,180,0.0,0.045
GLD,367.13,call,275.3,2026-08-18,90.99,94.7,93.0,42,273,0.0,0.045
GLD,367.13,put,275.3,2026-08-18,0.0,0.02,0.01,54,280,0.0,0.045
