underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate
JETS,32.09,call,22.5,2026-07-22,9.15,10.06,9.69,37,167,0.007,0.045
JETS,32.09,put,22.5,2026-07-22,0.0,0.02,0.01,35,179,0.007,0.045
JETS,32.09,call,24.1,2026-07-22,7.65,8.37,7.97,60,264,0.007,0.045
JETS,32.09,put,24.1,2026-07-22,0.0,0.02,0.01,54,268,0.007,0.045
JETS,32.09,call,25.7,2026-07-22,6.13,6.68,6.26,88,406,0.007,0.045
JETS,32.09,put,25.7,2026-07-22,0.0,0.02,0.01,87,393,0.007,0.045
JETS,32.09,call,27.3,2026-07-22,4.61,5.01,4.83,106,627,0.007,0.045
JETS,32.09,put,27.3,2026-07-22,0.0,0.02,0.01,120,616,0.007,0.045
JETS,32.09,call,28.9,2026-07-22,3.09,3.34,3.22,171,904,0.007,0.045
JETS,32.09,put,28.9,2026-07-22,0.0,0.02,0.01,164,919,0.007,0.045
JETS,32.09,call,30.5,2026-07-22,1.65,1.77,1.72,285,1283,0.007,0.045
JETS,32.09,put,30.5,2026-07-22,0.09,0.11,0.1,291,1321,0.007,0.045
JETS,32.09,call,32.1,2026-07-22,0.57,0.61,0.59,412,1966,0.007,0.045
JETS,32.09,put,32.1,2026-07-22,0.55,0.59,0.58,375,2061,0.007,0.045
JETS,32.09,call,33.7,2026-07-22,0.09,0.11,0.1,296,1390,0.007,0.045
JETS,32.09,put,33.7,2026-07-22,1.62,1.75,1.7,281,1379,0.007,0.045
JETS,32.09,call,35.3,2026-07-22,0.0,0.02,0.01,165,882,0.007,0.045
JETS,32.09,put,35.3,2026-07-22,3.07,13.28,3.14,176,877,0.007,0.045
JETS,32.09,call,36.9,2026-07-22,0.0,0.02,0.01,125,620,0.007,0.045
JETS,32.09,put,36.9,2026-07-22,4.59,4.98,4.8,135,627,0.007,0.045
JETS,32.09,call,38.5,2026-07-22,0.0,0.02,0.01,74,368,0.007,0.045
JETS,32.09,put,38.5,2026-07-22,6.11,6.66,6.41,86,397,0.007,0.045
JETS,32.09,call,40.1,2026-07-22,0.0,0.02,0.01,53,290,0.007,0.045
JETS,32.09,put,40.1,2026-07-22,7.62,8.34,8.02,53,248,0.007,0.045
JETS,32.09,call,41.7,2026-07-22,0.0,0.02,0.01,33,185,0.007,0.045
JETS,32.09,put,41.7,2026-07-22,9.13,10.03,9.49,42,186,0.007,0.045
JETS,32.09,call,22.5,2026-07-29,9.41,9.83,9.62,37,183,0.007,0.045
JETS,32.09,put,22.5,2026-07-29,0.0,0.02,0.01,37,175,0.007,0.045
JETS,32.09,call,24.1,2026-07-29,7.86,8.18,8.09,52,292,0.007,0.045
JETS,32.09,put,24.1,2026-07-29,0.0,0.02,0.01,47,259,0.007,0.045
JETS,32.09,call,25.7,2026-07-29,6.31,6.54,6.44,87,395,0.007,0.045
JETS,32.09,put,25.7,2026-07-29,0.0,0.02,0.01,89,415,0.007,0.045
JETS,32.09,call,27.3,2026-07-29,4.76,4.91,4.82,121,605,0.007,0.045
JETS,32.09,put,27.3,2026-07-29,0.0,0.02,0.01,130,583,0.007,0.045
JETS,32.09,call,28.9,2026-07-29,3.23,3.32,3.28,171,912,0.007,0.045
JETS,32.09,put,28.9,2026-07-29,0.04,0.06,0.05,175,892,0.007,0.045
JETS,32.09,call,30.5,2026-07-29,1.85,1.9,1.87,255,1334,0.007,0.045
JETS,32.09,put,30.5,2026-07-29,0.23,1.0,0.24,290,1356,0.007,0.045
JETS,32.09,call,32.1,2026-07-29,0.82,0.84,0.83,384,2033,0.007,0.045
JETS,32.09,put,32.1,2026-07-29,0.78,0.8,0.79,341,2018,0.007,0.045
JETS,32.09,call,33.7,2026-07-29,0.25,0.27,0.26,306,1340,0.007,0.045
JETS,32.09,put,33.7,2026-07-29,1.8,1.84,1.81,257,1252,0.007,0.045
JETS,32.09,call,35.3,2026-07-29,0.04,0.06,0.05,181,927,0.007,0.045
JETS,32.09,put,35.3,2026-07-29,3.17,3.26,3.2,206,857,0.007,0.045
JETS,32.09,call,36.9,2026-07-29,0.0,0.02,0.01,124,585,0.007,0.045
JETS,32.09,put,36.9,2026-07-29,4.69,4.84,4.76,129,610,0.007,0.045
JETS,32.09,call,38.5,2026-07-29,0.0,0.02,0.01,86,398,0.007,0.045
JETS,32.09,put,38.5,2026-07-29,6.24,6.47,6.36,73,402,0.007,0.045
JETS,32.09,call,40.1,2026-07-29,0.0,0.02,0.01,40,264,0.007,0.045
JETS,32.09,put,40.1,2026-07-29,7.79,8.11,7.96,51,268,0.007,0.045
JETS,32.09,call,41.7,2026-07-29,0.0,0.02,0.01,39,163,0.007,0.045
JETS,32.09,put,41.7,2026-07-29,9.34,9.76,9.57,39,189,0.007,0.045
JETS,32.09,call,22.5,2026-08-14,9.44,9.87,9.66,50,194,0.007,0.045
JETS,32.09,put,22.5,2026-08-14,0.0,0.02,0.01,32,185,0.007,0.045
JETS,32.09,call,24.1,2026-08-14,7.9,8.22,8.05,54,238,0.007,0.045
JETS,32.09,put,24.1,2026-08-14,0.0,0.02,0.01,57,268,0.007,0.045
JETS,32.09,call,25.7,2026-08-14,6.36,6.59,6.48,83,362,0.007,0.045
JETS,32.09,put,25.7,2026-08-14,0.0,0.02,0.01,124,399,0.007,0.045
JETS,32.09,call,27.3,2026-08-14,4.85,5.01,4.91,95,563,0.007,0.045
JETS,32.09,put,27.3,2026-08-14,0.04,0.06,0.06,132,590,0.007,0.045
JETS,32.09,call,28.9,2026-08-14,3.42,3.51,3.47,163,936,0.007,0.045
JETS,32.09,put,28.9,2026-08-14,0.18,0.2,0.19,167,902,0.007,0.045
JETS,32.09,call,30.5,2026-08-14,2.17,2.22,2.2,271,1377,0.007,0.045
JETS,32.09,put,30.5,2026-08-14,0.5,0.52,0.51,270,1306,0.007,0.045
JETS,32.09,call,32.1,2026-08-14,1.2,1.22,1.21,406,2016,0.007,0.045
JETS,32.09,put,32.1,2026-08-14,1.11,1.13,1.12,395,1980,0.007,0.045
JETS,32.09,call,33.7,2026-08-14,0.55,0.57,0.56,261,1331,0.007,0.045
JETS,32.09,put,33.7,2026-08-14,2.04,2.09,2.07,277,1324,0.007,0.045
JETS,32.09,call,35.3,2026-08-14,0.21,0.23,0.22,179,908,0.007,0.045
JETS,32.09,put,35.3,2026-08-14,3.27,3.36,3.32,179,890,0.007,0.045
JETS,32.09,call,36.9,2026-08-14,0.06,0.08,0.06,119,587,0.007,0.045
JETS,32.09,put,36.9,2026-08-14,4.68,4.83,4.74,125,618,0.007,0.045
JETS,32.09,call,38.5,2026-08-14,0.01,0.03,0.02,82,396,0.007,0.045
JETS,32.09,put,38.5,2026-08-14,6.19,6.42,6.25,84,372,0.007,0.045
JETS,32.09,call,40.1,2026-08-14,0.0,0.02,0.01,59,269,0.007,0.045
JETS,32.09,put,40.1,2026-08-14,7.73,8.04,7.88,50,259,0.007,0.045
JETS,32.09,call,41.7,2026-08-14,0.0,0.02,0.01,29,179,0.007,0.045
JETS,32.09,put,41.7,2026-08-14,9.27,9.68,9.55,39,200,0.007,0.045
JETS,32.09,call,22.5,2026-08-29,9.48,9.9,9.69,35,185,0.007,0.045
JETS,32.09,put,22.5,2026-08-29,0.0,0.02,0.01,41,180,0.007,0.045
JETS,32.09,call,24.1,2026-08-29,7.94,8.27,8.11,48,300,0.007,0.045
JETS,32.09,put,24.1,2026-08-29,0.0,0.02,0.01,50,275,0.007,0.045
JETS,32.09,call,25.7,2026-08-29,6.43,6.66,6.59,71,400,0.007,0.045
JETS,32.09,put,25.7,2026-08-29,0.03,0.05,0.04,75,419,0.007,0.045
JETS,32.09,call,27.3,2026-08-29,4.96,5.12,5.02,113,645,0.007,0.045
JETS,32.09,put,27.3,2026-08-29,0.12,0.14,0.13,117,642,0.007,0.045
JETS,32.09,call,28.9,2026-08-29,3.59,3.7,3.65,192,870,0.007,0.045
JETS,32.09,put,28.9,2026-08-29,0.31,0.33,0.32,175,875,0.007,0.045
JETS,32.09,call,30.5,2026-08-29,2.41,2.47,2.44,299,1299,0.007,0.045
JETS,32.09,put,30.5,2026-08-29,0.7,0.72,0.7,265,1305,0.007,0.045
JETS,32.09,call,32.1,2026-08-29,1.46,1.49,1.47,388,2028,0.007,0.045
JETS,32.09,put,32.1,2026-08-29,1.32,1.35,1.34,391,2024,0.007,0.045
JETS,32.09,call,33.7,2026-07-15,0.79,0.81,0.8,269,1365,0.007,0.045
JETS,32.09,put,33.7,2026-08-29,2.22,2.28,2.25,266,1293,0.007,0.045
JETS,32.09,call,35.3,2026-08-29,0.0,0.39,0.38,177,898,0.007,0.045
JETS,32.09,put,35.3,2026-08-29,3.37,3.47,3.43,173,919,0.007,0.045
JETS,32.09,call,36.9,2026-08-29,0.14,0.16,0.16,137,616,0.007,0.045
JETS,32.09,put,36.9,2026-08-29,4.71,4.86,4.8,131,582,0.007,0.045
JETS,32.09,call,38.5,2026-08-29,0.04,0.06,0.05,88,426,0.007,0.045
JETS,32.09,put,38.5,2026-08-29,6.16,6.39,6.24,77,383,0.007,0.045
JETS,32.09,call,40.1,2026-08-29,0.0,0.02,0.01,40,290,0.007,0.045
