underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate
USO,120.17,call,84.1,2026-07-26,34.44,37.84,35.96,39,147,0.0,0.045
USO,120.17,put,84.1,2026-07-26,0.0,0.02,0.01,46,191,0.0,0.045
USO,120.17,call,90.1,2026-07-26,28.79,31.5,29.81,62,290,0.0,0.045
USO,120.17,put,90.1,2026-07-26,0.0,0.02,0.01,46,272,0.0,0.045
USO,120.17,call,96.1,2026-07-26,23.11,25.19,24.0,85,409,0.0,0.045
USO,120.17,put,96.1,2026-07-26,0.0,0.02,0.01,85,396,0.0,0.045
USO,120.17,call,102.1,2026-07-26,17.42,18.91,18.28,121,600,0.0,0.045
USO,120.17,put,102.1,2026-07-26,0.0,0.02,0.01,115,588,0.0,0.045
USO,120.17,call,108.2,2026-07-19,11.65,12.6,12.29,176,876,0.0,0.045
USO,120.17,put,108.2,2026-07-26,0.05,0.07,0.06,195,877,0.0,0.045
USO,120.17,call,114.2,2026-07-26,6.37,6.86,6.56,261,1339,0.0,0.045
USO,120.17,put,114.2,2026-07-26,0.52,0.57,0.54,233,1309,0.0,0.045
USO,120.17,call,120.2,2026-07-26,2.45,2.63,2.54,387,1979,0.0,0.045
USO,120.17,put,120.2,2026-07-26,2.38,2.55,2.47,435,2103,0.0,0.045
USO,120.17,call,126.2,2026-07-26,0.56,0.61,0.59,304,1368,0.0,0.045
USO,120.17,put,126.2,2026-07-26,6.27,6.75,6.54,282,1365,0.0,0.045
USO,120.17,call,132.2,2026-07-26,0.06,0.08,0.07,161,952,0.0,0.045
USO,120.17,put,132.2,2026-07-26,11.52,12.46,11.86,213,929,0.0,0.045
USO,120.17,call,138.2,2026-07-26,0.0,0.02,0.01,113,598,0.0,0.045
USO,120.17,put,138.2,2026-07-26,17.18,18.65,17.8,128,603,0.0,0.045
USO,120.17,call,144.2,2026-07-26,0.0,0.02,0.01,91,395,0.0,0.045
USO,120.17,put,144.2,2026-07-26,22.88,24.93,23.75,82,388,0.0,0.045
USO,120.17,call,150.2,2026-07-26,0.0,0.02,0.01,44,275,0.0,0.045
USO,120.17,put,150.2,2026-07-26,28.56,31.25,29.9,55,267,0.0,0.045
USO,120.17,call,156.2,2026-07-26,0.0,0.02,0.01,51,184,0.0,0.045
