underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate
XLE,56.95,call,39.9,2026-07-15,16.25,17.86,16.98,26,195,0.0277,0.045
XLE,56.95,put,39.9,2026-07-22,0.0,0.02,0.02,35,167,0.0277,0.045
XLE,56.95,call,42.7,2026-07-22,13.61,14.9,14.12,52,267,0.0277,0.045
XLE,56.95,put,42.7,2026-07-22,0.0,0.02,0.01,72,277,0.0277,0.045
XLE,56.95,call,45.6,2026-07-22,0.0,11.85,11.55,76,435,0.0277,0.045
XLE,56.95,put,45.6,2026-07-22,0.0,0.02,0.01,89,418,0.0277,0.045
XLE,56.95,call,48.4,2026-07-22,8.21,8.91,8.63,110,587,0.0277,0.045
XLE,56.95,put,48.4,2026-07-22,0.0,0.02,0.01,111,613,0.0277,0.045
XLE,56.95,call,51.3,2026-07-22,5.45,5.89,5.7,178,945,0.0277,0.045
XLE,56.95,put,51.3,2026-07-22,0.0,0.02,0.01,177,868,0.0277,0.045
XLE,56.95,call,54.1,2026-07-22,2.89,3.12,2.95,289,1347,0.0277,0.045
XLE,56.95,put,54.1,2026-07-22,0.13,0.15,0.14,252,1368,0.0277,0.045
XLE,56.95,call,57.0,2026-07-22,0.92,0.98,0.96,432,2039,0.0277,0.045
XLE,56.95,put,57.0,2026-07-22,0.95,1.01,0.99,404,2027,0.0277,0.045
XLE,56.95,call,59.8,2026-07-22,0.13,0.15,0.14,241,1307,0.0277,0.045
XLE,56.95,put,59.8,2026-07-22,2.86,3.08,2.98,258,1363,0.0277,0.045
XLE,56.95,call,62.6,2026-07-22,0.0,0.02,0.01,189,920,0.0277,0.045
XLE,56.95,put,62.6,2026-07-22,5.41,23.4,5.58,188,906,0.0277,0.045
XLE,56.95,call,65.5,2026-07-22,0.0,0.02,0.01,120,600,0.0277,0.045
XLE,56.95,put,65.5,2026-07-22,8.17,8.87,8.47,117,604,0.0277,0.045
XLE,56.95,call,68.3,2026-07-22,0.0,0.02,0.02,78,438,0.0277,0.045
XLE,56.95,put,68.3,2026-07-22,10.83,11.81,11.26,77,374,0.0277,0.045
XLE,56.95,call,71.2,2026-07-22,0.0,0.02,0.01,55,282,0.0277,0.045
XLE,56.95,put,71.2,2026-07-22,13.58,14.86,14.32,48,263,0.0277,0.045
XLE,56.95,call,74.0,2026-07-22,0.0,0.02,0.01,33,185,0.0277,0.045
XLE,56.95,put,74.0,2026-07-22,16.22,17.82,16.97,34,160,0.0277,0.045
XLE,56.95,call,39.9,2026-07-29,16.68,17.43,17.09,35,176,0.0277,0.045
XLE,56.95,put,39.9,2026-07-29,0.0,0.02,0.01,32,173,0.0277,0.045
XLE,56.95,call,42.7,2026-07-29,13.98,14.55,14.27,55,248,0.0277,0.045
XLE,56.95,put,42.7,2026-07-29,0.0,0.02,0.01,45,293,0.0277,0.045
XLE,56.95,call,45.6,2026-07-29,0.0,11.57,11.36,71,446,0.0277,0.045
XLE,56.95,put,45.6,2026-07-29,0.0,0.02,0.01,64,430,0.0277,0.045
XLE,56.95,call,48.4,2026-07-29,8.44,8.72,8.61,117,617,0.0277,0.045
XLE,56.95,put,48.4,2026-07-29,0.0,0.02,0.01,129,624,0.0277,0.045
XLE,56.95,call,51.3,2026-07-29,0.0,5.82,5.74,179,910,0.0277,0.045
XLE,56.95,put,51.3,2026-07-29,0.05,0.07,0.06,174,921,0.0277,0.045
XLE,56.95,call,54.1,2026-07-29,3.21,3.29,3.25,290,1345,0.0277,0.045
XLE,56.95,put,54.1,2026-07-29,0.36,0.38,0.37,259,1352,0.0277,0.045
XLE,56.95,call,57.0,2026-07-29,1.33,1.36,1.34,422,2004,0.0277,0.045
XLE,56.95,put,57.0,2026-07-29,1.34,1.37,1.36,410,2043,0.0277,0.045
XLE,56.95,call,59.8,2026-07-29,0.38,0.4,0.38,247,1394,0.0277,0.045
XLE,56.95,put,59.8,2026-07-29,3.15,3.23,3.19,262,1299,0.0277,0.045
XLE,56.95,call,62.6,2026-07-29,0.06,0.32,0.07,190,934,0.0277,0.045
XLE,56.95,put,62.6,2026-07-29,5.59,5.75,5.68,183,947,0.0277,0.045
XLE,56.95,call,65.5,2026-07-15,0.0,0.02,0.01,108,639,0.0277,0.045
XLE,56.95,put,65.5,2026-07-29,8.37,8.64,8.52,124,578,0.0277,0.045
XLE,56.95,call,68.3,2026-07-29,0.0,0.02,0.01,88,414,0.0277,0.045
XLE,56.95,put,68.3,2026-07-29,11.09,11.5,11.39,85,418,0.0277,0.045
XLE,56.95,call,71.2,2026-07-29,0.0,0.02,0.01,53,254,0.0277,0.045
XLE,56.95,put,71.2,2026-07-29,13.9,14.47,14.29,48,254,0.0277,0.045
XLE,56.95,call,74.0,2026-07-29,0.0,0.02,0.01,43,201,0.0277,0.045
XLE,56.95,put,74.0,2026-07-29,16.61,17.36,16.98,36,185,0.0277,0.045
XLE,56.95,call,39.9,2026-08-14,16.69,17.44,17.04,47,175,0.0277,0.045
XLE,56.95,put,39.9,2026-08-14,0.0,0.02,0.01,37,183,0.0277,0.045
