underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate
XLV,157.91,call,110.5,2026-07-22,45.22,49.69,47.96,42,182,0.0164,0.045
XLV,157.91,put,110.5,2026-07-22,0.0,0.02,0.01,34,149,0.0164,0.045
XLV,157.91,call,118.4,2026-07-22,37.78,41.34,39.63,57,267,0.0164,0.045
XLV,157.91,put,118.4,2026-07-22,0.0,0.02,0.01,63,270,0.0164,0.045
XLV,157.91,call,126.3,2026-07-22,30.31,33.03,31.78,82,431,0.0164,0.045
XLV,157.91,put,126.3,2026-07-22,0.0,0.02,0.01,92,433,0.0164,0.045
XLV,157.91,call,134.2,2026-07-22,22.8,24.75,23.57,127,602,0.0164,0.045
XLV,157.91,put,134.2,2026-07-22,0.0,0.02,0.01,115,588,0.0164,0.045
XLV,157.91,call,142.1,2026-07-22,15.26,16.5,15.75,178,873,0.0164,0.045
XLV,157.91,put,142.1,2026-07-22,0.0,0.02,0.01,180,873,0.0164,0.045
XLV,157.91,call,150.0,2026-07-22,7.77,8.36,8.04,241,1326,0.0164,0.045
XLV,157.91,put,150.0,2026-07-22,0.06,0.08,0.07,300,1310,0.0164,0.045
XLV,157.91,call,157.9,2026-07-22,1.79,1.92,1.87,411,1960,0.0164,0.045
XLV,157.91,put,157.9,2026-07-22,1.69,1.82,1.75,411,1983,0.0164,0.045
XLV,157.91,call,165.8,2026-07-22,0.06,0.08,0.07,263,1328,0.0164,0.045
XLV,157.91,put,165.8,2026-07-22,7.58,8.16,7.8,279,1298,0.0164,0.045
XLV,157.91,call,173.7,2026-07-22,0.0,0.02,0.01,176,897,0.0164,0.045
XLV,157.91,put,173.7,2026-07-22,15.08,16.3,15.85,176,892,0.0164,0.045
XLV,157.91,call,181.6,2026-07-22,0.0,0.02,0.01,140,628,0.0164,0.045
XLV,157.91,put,181.6,2026-07-22,22.62,98.2,23.51,101,629,0.0164,0.045
XLV,157.91,call,189.5,2026-07-22,0.0,0.02,0.01,74,407,0.0164,0.045
XLV,157.91,put,189.5,2026-07-22,30.12,32.83,31.31,75,362,0.0164,0.045
XLV,157.91,call,197.4,2026-07-22,0.0,0.02,0.01,51,294,0.0164,0.045
XLV,157.91,put,197.4,2026-07-22,37.6,41.14,39.26,58,263,0.0164,0.045
XLV,157.91,call,205.3,2026-07-22,0.0,0.02,0.01,38,181,0.0164,0.045
XLV,157.91,put,205.3,2026-07-22,45.04,49.48,48.07,29,168,0.0164,0.045
XLV,157.91,call,110.5,2026-07-29,46.46,48.55,47.43,38,175,0.0164,0.045
XLV,157.91,put,110.5,2026-07-29,0.0,0.02,0.01,39,209,0.0164,0.045
XLV,157.91,call,118.4,2026-07-29,38.82,40.41,39.62,50,256,0.0164,0.045
XLV,157.91,put,118.4,2026-07-29,0.0,0.02,0.01,59,261,0.0164,0.045
XLV,157.91,call,126.3,2026-07-29,31.16,32.3,31.75,59,402,0.0164,0.045
XLV,157.91,put,126.3,2026-07-29,0.0,0.02,0.01,82,409,0.0164,0.045
XLV,157.91,call,134.2,2026-07-29,23.46,24.22,23.91,122,610,0.0164,0.045
XLV,157.91,put,134.2,2026-07-29,0.0,0.02,0.01,126,661,0.0164,0.045
XLV,157.91,call,142.1,2026-07-29,15.75,16.19,15.93,170,935,0.0164,0.045
XLV,157.91,put,142.1,2026-07-29,0.0,0.02,0.01,169,868,0.0164,0.045
XLV,157.91,call,150.0,2026-07-29,8.28,8.48,8.39,270,1315,0.0164,0.045
XLV,157.91,put,150.0,2026-07-29,0.3,0.32,0.31,252,1312,0.0164,0.045
XLV,157.91,call,157.9,2026-07-29,2.58,2.63,2.6,368,1981,0.0164,0.045
XLV,157.91,put,157.9,2026-07-29,2.4,2.44,2.42,359,1988,0.0164,0.045
XLV,157.91,call,165.8,2026-07-29,0.31,0.33,0.32,292,1353,0.0164,0.045
XLV,157.91,put,165.8,2026-07-29,7.93,8.12,8.02,288,1373,0.0164,0.045
XLV,157.91,call,173.7,2026-07-29,0.0,0.08,0.01,180,923,0.0164,0.045
XLV,157.91,put,173.7,2026-07-29,15.38,15.82,15.64,175,888,0.0164,0.045
XLV,157.91,call,181.6,2026-07-29,0.0,0.02,0.01,116,552,0.0164,0.045
XLV,157.91,put,181.6,2026-07-29,23.1,23.85,23.46,99,598,0.0164,0.045
XLV,157.91,call,189.5,2026-07-29,0.0,0.02,0.01,96,396,0.0164,0.045
XLV,157.91,put,189.5,2026-07-29,30.8,31.93,31.37,78,441,0.0164,0.045
XLV,157.91,call,197.4,2026-07-15,0.0,0.02,0.01,54,294,0.0164,0.045
XLV,157.91,put,197.4,2026-07-29,38.46,40.03,39.39,55,266,0.0164,0.045
XLV,157.91,call,205.3,2026-07-29,0.0,0.02,0.01,30,178,0.0164,0.045
XLV,157.91,put,205.3,2026-07-29,46.1,48.17,46.77,42,179,0.0164,0.045
XLV,157.91,call,110.5,2026-08-14,46.56,48.65,47.97,49,183,0.0164,0.045
XLV,157.91,put,110.5,2026-07-15,0.0,0.02,0.01,42,174,0.0164,0.045
XLV,157.91,call,118.4,2026-08-14,38.94,40.53,39.75,61,269,0.0164,0.045
XLV,157.91,put,118.4,2026-08-14,0.0,0.02,0.01,54,263,0.0164,0.045
XLV,157.91,call,126.3,2026-08-14,31.29,32.44,31.78,89,414,0.0164,0.045
XLV,157.91,put,126.3,2026-08-14,0.0,0.02,0.01,72,347,0.0164,0.045
XLV,157.91,call,134.2,2026-08-14,23.62,24.39,24.0,109,582,0.0164,0.045
XLV,157.91,put,134.2,2026-08-14,0.0,0.02,0.01,98,648,0.0164,0.045
XLV,157.91,call,142.1,2026-08-14,16.04,16.49,16.22,205,876,0.0164,0.045
XLV,157.91,put,142.1,2026-08-14,0.13,0.15,0.14,182,878,0.0164,0.045
XLV,157.91,call,150.0,2026-08-14,9.03,9.25,9.18,272,1376,0.0164,0.045
XLV,157.91,put,150.0,2026-08-14,0.88,0.9,0.89,275,1318,0.0164,0.045
XLV,157.91,call,157.9,2026-08-14,3.73,3.8,3.77,405,1965,0.0164,0.045
XLV,157.91,put,157.9,2026-08-14,3.35,3.42,3.39,384,2041,0.0164,0.045
XLV,157.91,call,165.8,2026-08-14,0.96,0.98,0.97,272,1362,0.0164,0.045
XLV,157.91,put,165.8,2026-08-14,8.36,8.56,8.45,280,1319,0.0164,0.045
XLV,157.91,call,173.7,2026-08-14,0.12,0.14,0.13,172,820,0.0164,0.045
XLV,157.91,put,173.7,2026-08-14,15.28,15.71,15.51,164,894,0.0164,0.045
XLV,157.91,call,181.6,2026-08-14,0.0,0.02,0.01,121,619,0.0164,0.045
XLV,157.91,put,181.6,2026-08-14,22.87,23.61,23.24,119,642,0.0164,0.045
XLV,157.91,call,189.5,2026-08-14,0.0,0.02,0.01,72,399,0.0164,0.045
XLV,157.91,put,189.5,2026-08-14,30.54,31.66,31.24,82,387,0.0164,0.045
XLV,157.91,call,197.4,2026-08-14,0.0,0.02,0.01,70,248,0.0164,0.045
XLV,157.91,put,197.4,2026-08-14,38.19,159.0,38.97,53,281,0.0164,0.045
XLV,157.91,call,205.3,2026-08-14,0.0,0.02,0.01,46,173,0.0164,0.045
XLV,157.91,put,205.3,2026-08-14,45.81,47.88,46.95,31,196,0.0164,0.045
XLV,157.91,call,110.5,2026-08-29,46.65,48.75,47.9,36,208,0.0164,0.045
XLV,157.91,put,110.5,2026-08-29,0.0,0.02,0.01,35,177,0.0164,0.045
XLV,157.91,call,118.4,2026-08-29,39.05,40.64,39.88,55,294,0.0164,0.045
XLV,157.91,put,118.4,2026-08-29,0.0,0.02,0.01,47,251,0.0164,0.045
XLV,157.91,call,126.3,2026-08-29,31.42,32.57,32.08,77,387,0.0164,0.045
XLV,157.91,put,126.3,2026-08-29,0.0,0.02,0.01,71,420,0.0164,0.045
XLV,157.91,call,134.2,2026-08-29,23.8,24.58,24.1,121,606,0.0164,0.045
XLV,157.91,put,134.2,2026-08-29,0.05,0.07,0.06,119,633,0.0164,0.045
XLV,157.91,call,142.1,2026-08-29,16.38,16.84,16.56,194,909,0.0164,0.045
XLV,157.91,put,142.1,2026-08-29,0.32,0.34,0.33,207,827,0.0164,0.045
XLV,157.91,call,150.0,2026-08-29,9.67,9.9,9.8,292,1382,0.0164,0.045
XLV,157.91,put,150.0,2026-08-29,1.35,1.38,1.36,281,1337,0.0164,0.045
XLV,157.91,call,157.9,2026-08-29,4.52,4.61,4.56,419,2093,0.0164,0.045
XLV,157.91,put,157.9,2026-08-29,3.96,4.04,4.0,364,1945,0.0164,0.045
XLV,157.91,call,165.8,2026-08-29,1.52,1.55,1.53,255,1361,0.0164,0.045
XLV,157.91,put,165.8,2026-08-29,8.72,8.93,8.84,279,1333,0.0164,0.045
XLV,157.91,call,173.7,2026-08-29,0.32,0.34,0.33,195,880,0.0164,0.045
XLV,157.91,put,173.7,2026-08-29,15.26,15.7,15.48,167,900,0.0164,0.045
XLV,157.91,call,181.6,2026-08-29,0.03,0.05,0.04,126,647,0.0164,0.045
XLV,157.91,put,181.6,2026-08-29,22.68,23.41,23.16,119,627,0.0164,0.045
XLV,157.91,call,189.5,2026-08-29,0.0,0.02,0.01,77,395,0.0164,0.045
XLV,157.91,put,189.5,2026-08-29,30.31,31.42,30.88,70,399,0.0164,0.045
XLV,157.91,call,197.4,2026-08-29,0.0,0.02,0.01,53,270,0.0164,0.045
XLV,157.91,put,197.4,2026-08-29,37.94,39.49,38.76,44,279,0.0164,0.045
XLV,157.91,call,205.3,2026-08-29,0.0,0.02,0.01,36,184,0.0164,0.045
XLV,157.91,put,205.3,2026-08-29,45.55,47.6,46.35,37,171,0.0164,0.045
XLV,157.91,call,110.5,2026-09-13,46.75,48.85,47.82,33,155,0.0164,0.045
XLV,157.91,put,110.5,2026-09-13,0.0,0.02,0.01,31,183,0.0164,0.045
XLV,157.91,call,118.4,2026-09-13,39.16,40.76,39.97,43,290,0.0164,0.045
XLV,157.91,put,118.4,2026-09-13,0.0,0.02,0.01,67,258,0.0164,0.045
XLV,157.91,call,126.3,2026-09-13,31.56,32.72,32.17,69,408,0.0164,0.045
XLV,157.91,put,126.3,2026-09-13,0.01,0.03,0.02,91,409,0.0164,0.045
XLV,157.91,call,134.2,2026-09-13,24.01,24.79,24.39,131,601,0.0164,0.045
XLV,157.91,put,134.2,2026-09-13,0.12,0.14,0.13,119,599,0.0164,0.045
XLV,157.91,call,142.1,2026-09-13,16.74,17.21,16.99,176,903,0.0164,0.045
XLV,157.91,put,142.1,2026-09-13,0.53,0.55,0.54,178,897,0.0164,0.045
