underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate
XLY,115.9,call,81.1,2026-07-26,33.21,36.49,34.65,49,185,0.0078,0.045
XLY,115.9,put,81.1,2026-07-26,0.0,0.02,0.01,30,183,0.0078,0.045
XLY,115.9,call,86.9,2026-07-26,27.75,30.37,28.89,52,253,0.0078,0.045
XLY,115.9,put,86.9,2026-07-26,0.0,0.02,0.01,69,249,0.0078,0.045
XLY,115.9,call,92.7,2026-07-26,22.26,24.26,23.19,81,394,0.0078,0.045
XLY,115.9,put,92.7,2026-07-26,0.0,0.02,0.01,84,408,0.0078,0.045
XLY,115.9,call,98.5,2026-07-26,16.75,18.18,17.6,120,600,0.0078,0.045
XLY,115.9,put,98.5,2026-07-26,0.0,0.02,0.01,130,599,0.0078,0.045
XLY,115.9,call,104.3,2026-07-26,11.22,12.13,11.65,198,920,0.0078,0.045
XLY,115.9,put,104.3,2026-07-26,0.0,0.02,0.01,181,878,0.0078,0.045
XLY,115.9,call,110.1,2026-07-26,5.78,6.22,6.04,268,1397,0.0078,0.045
XLY,115.9,put,110.1,2026-07-26,0.11,0.13,0.12,284,1329,0.0078,0.045
XLY,115.9,call,115.9,2026-07-26,1.56,1.68,1.64,383,2040,0.0078,0.045
XLY,115.9,put,115.9,2026-07-26,1.48,1.59,1.55,400,2026,0.0078,0.045
XLY,115.9,call,121.7,2026-07-26,0.12,0.14,0.13,241,1326,0.0078,0.045
XLY,115.9,put,121.7,2026-07-26,5.62,6.06,5.88,274,1352,0.0078,0.045
XLY,115.9,call,127.5,2026-07-26,0.0,0.02,0.01,155,896,0.0078,0.045
XLY,115.9,put,127.5,2026-07-26,11.06,11.96,11.52,179,906,0.0078,0.045
XLY,115.9,call,133.3,2026-07-26,0.0,0.02,0.01,107,589,0.0078,0.045
XLY,115.9,put,133.3,2026-07-26,16.59,18.01,17.42,116,577,0.0078,0.045
XLY,115.9,call,139.1,2026-07-19,0.0,0.02,0.01,78,423,0.0078,0.045
XLY,115.9,put,139.1,2026-07-26,22.1,24.09,22.92,81,395,0.0078,0.045
XLY,115.9,call,144.9,2026-07-26,0.0,0.02,0.01,50,275,0.0078,0.045
XLY,115.9,put,144.9,2026-07-26,27.59,30.19,28.86,54,288,0.0078,0.045
XLY,115.9,call,150.7,2026-07-26,0.0,0.02,0.01,41,193,0.0078,0.045
XLY,115.9,put,150.7,2026-07-26,33.06,36.32,34.67,31,189,0.0078,0.045
XLY,115.9,call,81.1,2026-08-02,34.14,35.67,34.9,41,206,0.0078,0.045
XLY,115.9,put,81.1,2026-08-02,0.0,0.02,0.01,42,205,0.0078,0.045
XLY,115.9,call,86.9,2026-08-02,28.53,29.7,29.15,57,276,0.0078,0.045
