underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate,dte,T,moneyness,midpoint,spread_pct,implied_vol,iv_solved,iv_message,delta,gamma,vega,theta,rho
JETS,32.09,call,25.7,2026-08-14,6.36,6.59,6.48,83,362,0.007,0.045,30,0.0821917808219178,0.8008725459644748,6.475,0.0355212355212354,0.3337949583020824,True,ok,0.9912518890474908,0.007272791143315993,0.002054701382138544,-0.0036564442838051252,0.020822690230191614
JETS,32.09,call,27.3,2026-08-14,4.85,5.01,4.91,95,563,0.007,0.045,30,0.0821917808219178,0.8507323153630414,4.93,0.0324543610547667,0.344657444474793,True,ok,0.9564651614956862,0.028792327645039396,0.008399090557210168,-0.007412305777283542,0.02117504139648729
JETS,32.09,call,28.9,2026-08-14,3.42,3.51,3.47,163,936,0.007,0.045,30,0.0821917808219178,0.9005920847616078,3.465,0.0259740259740259,0.3325371743267033,True,ok,0.8802318390089977,0.06506586095204327,0.01831307218727795,-0.012663183052628247,0.020368470889136788
JETS,32.09,call,30.5,2026-08-14,2.17,2.22,2.2,271,1377,0.007,0.045,30,0.0821917808219178,0.9504518541601744,2.1950000000000003,0.0227790432801823,0.32615883873968243,True,ok,0.7331398088455757,0.10939510549033758,0.030199160345568708,-0.01859491842292189,0.01753270415554538
JETS,32.09,call,32.1,2026-08-14,1.2,1.22,1.21,406,2016,0.007,0.045,30,0.0821917808219178,1.000311623558741,1.21,0.0165289256198347,0.31799977895952086,True,ok,0.5301543840978342,0.1358880165046769,0.03657428140437191,-0.021006358016885992,0.012988482845580306
JETS,32.09,call,33.7,2026-08-14,0.55,0.57,0.56,261,1331,0.007,0.045,30,0.0821917808219178,1.0501713929573075,0.56,0.0357142857142855,0.30921039884352375,True,ok,0.3180425458586478,0.1253454439747105,0.03280427684348492,-0.017899205717525703,0.007928207098754502
JETS,32.09,call,35.3,2026-08-14,0.21,0.23,0.22,179,908,0.007,0.045,30,0.0821917808219178,1.1000311623558738,0.22,0.090909090909091,0.3049383831765169,True,ok,0.1558937281633583,0.08524481808210184,0.022001277866986926,-0.011675421939307637,0.003930928550758953
JETS,32.09,call,36.9,2026-08-14,0.06,0.08,0.06,119,587,0.007,0.045,30,0.0821917808219178,1.1498909317544406,0.07,0.2857142857142857,0.29943524958451867,True,ok,0.06081768978849702,0.0436972868203805,0.011074527885519426,-0.005721394294409939,0.0015465530973423052
JETS,32.09,call,25.7,2026-08-29,6.43,6.66,6.59,71,400,0.007,0.045,45,0.1232876712328767,0.8008725459644748,6.545,0.0351413292589763,0.3440068688107172,True,ok,0.9728204427614662,0.015738158635232504,0.00687353449130212,-0.005070425441015777,0.030418530421608917
JETS,32.09,call,27.3,2026-08-29,4.96,5.12,5.02,113,645,0.007,0.045,45,0.1232876712328767,0.8507323153630414,5.04,0.0317460317460317,0.3372631591261084,True,ok,0.9275861301320434,0.03592531645871338,0.015382559005219938,-0.008241992644491552,0.030484404148013122
