underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate,dte,T,moneyness,midpoint,spread_pct,implied_vol,iv_solved,iv_message,delta,gamma,vega,theta,rho
XLY,115.9,call,98.5,2026-08-18,17.44,18.01,17.7,124,574,0.0078,0.045,30,0.0821917808219178,0.8498705780845556,17.725,0.0321579689703808,0.25934063301617133,True,ok,0.9876467647374748,0.0035487687641883826,0.010161165632033644,-0.013873085432824624,0.07951500838105478
XLY,115.9,call,104.3,2026-08-18,11.98,12.32,12.16,194,913,0.0078,0.045,30,0.0821917808219178,0.899913718723037,12.15,0.0279835390946501,0.25397969986385543,True,ok,0.9359821782490241,0.014730047394564889,0.04130459917153927,-0.027042348779136298,0.07917561665710669
XLY,115.9,call,110.1,2026-08-18,7.05,7.22,7.13,295,1351,0.0078,0.045,30,0.0821917808219178,0.9499568593615184,7.135,0.0238262088297126,0.2458202468234463,True,ok,0.7896875762826485,0.035242465628631876,0.09564872768781435,-0.04763567162145534,0.06936147178077146
XLY,115.9,call,115.9,2026-08-18,3.3,3.36,3.33,404,1976,0.0078,0.045,30,0.0821917808219178,1.0,3.33,0.018018018018018,0.23819638860689415,True,ok,0.5311104694056129,0.05021649933092244,0.13206169556728292,-0.05829077270275308,0.04785674259885104
XLY,115.9,call,121.7,2026-08-18,1.12,1.15,1.13,244,1351,0.0078,0.045,30,0.0821917808219178,1.0500431406384814,1.135,0.0264317180616738,0.2307332630306646,True,ok,0.25481575146452595,0.041855136402688106,0.10662381848112823,-0.04387279121806116,0.023340941570340012
XLY,115.9,call,127.5,2026-08-18,0.25,0.27,0.26,190,878,0.0078,0.045,30,0.0821917808219178,1.100086281276963,0.26,0.0769230769230769,0.22347174736036868,True,ok,0.07934856481232029,0.019894729290535946,0.04908580537245955,-0.019187383353764426,0.007345067389427528
XLY,115.9,call,98.5,2026-09-02,17.67,18.24,18.03,115,646,0.0078,0.045,45,0.1232876712328767,0.8498705780845556,17.955,0.0317460317460315,0.2576566805032348,True,ok,0.9699550256046053,0.006323249349381752,0.02698163335823335,-0.016968186684373002,0.1164609708548286
XLY,115.9,call,104.3,2026-09-02,12.37,12.72,12.56,164,903,0.0078,0.045,45,0.1232876712328767,0.899913718723037,12.545,0.0278995615783181,0.2495249650926243,True,ok,0.9022972112028099,0.01686432537629976,0.06968984483149666,-0.028433044794989412,0.11346318086586678
XLY,115.9,call,110.1,2026-09-02,7.67,7.85,7.75,246,1329,0.0078,0.045,45,0.1232876712328767,0.9499568593615184,7.76,0.0231958762886597,0.24172423682332955,True,ok,0.7577278724189405,0.03168230743201634,0.12683044693504264,-0.04205821355390864,0.09870492379675727
XLY,115.9,call,115.9,2026-09-02,4.02,4.1,4.06,368,1957,0.0078,0.045,45,0.1232876712328767,1.0,4.06,0.0197044334975369,0.23422266560641852,True,ok,0.5380742858316139,0.04161806312530871,0.16143485392402776,-0.047868335016275944,0.0718801770856732
XLY,115.9,call,127.5,2026-09-02,0.53,0.55,0.54,196,920,0.0078,0.045,45,0.1232876712328767,1.100086281276963,0.54,0.037037037037037,0.21860604521840163,True,ok,0.12606732026979908,0.023270365498235798,0.08424650507223738,-0.021885672453809277,0.0173480596207024
XLY,115.9,call,133.3,2026-09-02,0.11,0.13,0.12,119,583,0.0078,0.045,45,0.1232876712328767,1.1501294219154443,0.12,0.1666666666666667,0.21019685745615807,True,ok,0.036200876336837266,0.009284873564208849,0.03232129359618324,-0.00796152497001099,0.00502481284983421
XLY,115.9,call,104.3,2026-09-17,12.76,13.12,12.94,190,923,0.0078,0.045,60,0.1643835616438356,0.899913718723037,12.94,0.0278207109737248,0.24582931574060368,True,ok,0.8777219141489596,0.01741150364514964,0.09451379643129569,-0.02813443416249893,0.14595282696300563
XLY,115.9,call,110.1,2026-09-17,8.21,8.41,8.31,266,1308,0.0078,0.045,60,0.1643835616438356,0.9499568593615184,8.31,0.0240673886883272,0.238254836655871,True,ok,0.7389617143598096,0.028940147056620513,0.15225365152860085,-0.03793360516086862,0.12712711792476938
XLY,115.9,call,115.9,2026-09-17,4.63,4.72,4.66,416,2045,0.0078,0.045,60,0.1643835616438356,1.0,4.675,0.0192513368983956,0.23115197945962382,True,ok,0.5439334400604543,0.03645136497282673,0.18605299711511958,-0.04168748667969138,0.09594556891102547
XLY,115.9,call,121.7,2026-09-17,2.19,2.24,2.22,260,1346,0.0078,0.045,60,0.1643835616438356,1.0500431406384814,2.215,0.0225733634311513,0.2235318784911263,True,ok,0.33461953389665267,0.03464108883448846,0.1709843099098446,-0.0355299058286074,0.06011080666789458
XLY,115.9,call,127.5,2026-09-17,0.84,0.86,0.85,188,943,0.0078,0.045,60,0.1643835616438356,1.100086281276963,0.85,0.0235294117647059,0.21595925351213113,True,ok,0.16437051308133918,0.024389540576536122,0.11630561848146506,-0.02276785714967866,0.029918700138842458
XLY,115.9,call,133.3,2026-09-17,0.24,0.26,0.25,107,626,0.0078,0.045,60,0.1643835616438356,1.1501294219154443,0.25,0.08,0.20791792371699158,True,ok,0.06114533617749755,0.012370682796245624,0.05679509868864237,-0.010532042736903058,0.011238484418929709
XLY,115.9,call,98.5,2026-10-17,18.46,19.06,18.59,110,591,0.0078,0.045,90,0.2465753424657534,0.8498705780845556,18.76,0.0319829424307035,0.24953557653610428,True,ok,0.9245228648337465,0.009707110090065927,0.08023039754300346,-0.019730250942472903,0.21795336994737038
XLY,115.9,call,104.3,2026-10-17,13.52,13.91,13.67,189,952,0.0078,0.045,90,0.2465753424657534,0.899913718723037,13.715,0.028436018957346,0.24164025420620266,True,ok,0.8433992431625381,0.01710001402417327,0.13686180627018787,-0.026644528992808156,0.20720952066548487
XLY,115.9,call,110.1,2026-10-17,9.18,9.4,9.3,302,1366,0.0078,0.045,90,0.2465753424657534,0.9499568593615184,9.29,0.023681377825619,0.23416255414370768,True,ok,0.7171717969196724,0.02499288419397414,0.1938430972162272,-0.032543195477975025,0.1820470962680429
XLY,115.9,call,121.7,2026-10-17,3.08,3.16,3.12,286,1341,0.0078,0.045,90,0.2465753424657534,1.0500431406384814,3.12,0.0256410256410256,0.21928244663512145,True,ok,0.3776400421975398,0.030072910226130282,0.21842173016566416,-0.030685047545453446,0.10022913096140398
XLY,115.9,call,127.5,2026-10-17,1.45,1.49,1.48,190,929,0.0078,0.045,90,0.2465753424657534,1.100086281276963,1.47,0.0272108843537415,0.211612891993239,True,ok,0.22083449236275907,0.02434522334131066,0.17063668386262232,-0.02248783695698142,0.05948560521033986
XLY,115.9,call,133.3,2026-10-17,0.57,0.59,0.58,116,606,0.0078,0.045,90,0.2465753424657534,1.1501294219154443,0.58,0.0344827586206896,0.20391444754591015,True,ok,0.10724944428261111,0.015724989849232797,0.10620742702074701,-0.01322714675239023,0.029219697375069974
