event_id,event_type,ticker,price_move_pct,realized_vol_before_pct,realized_vol_after_pct,realized_vol_change_pp,vol_proxy,vol_proxy_before,vol_proxy_after,vol_proxy_change_pp,implied_move_approx_pct,actual_vs_implied_pct
E1,Escalation,USO,28.96,23.3,94.0,70.8,OVX,64.7,100.5,35.8,12.88,16.08
E1,Escalation,JETS,-9.61,45.1,38.1,-7.0,VIX,19.9,25.5,5.6,3.96,5.65
E1,Escalation,SPY,-0.6,13.2,15.5,2.3,VIX,19.9,25.5,5.6,3.96,-3.35
E1,Escalation,XLE,2.12,12.0,9.2,-2.8,OVX,64.7,100.5,35.8,12.88,-10.76
E1,Escalation,XLY,-0.35,20.7,21.3,0.6,VIX,19.9,25.5,5.6,3.96,-3.61
E1,Escalation,XLV,-2.7,15.0,18.7,3.7,VIX,19.9,25.5,5.6,3.96,-1.26
E1,Escalation,GLD,-1.82,24.5,37.9,13.4,VIX,19.9,25.5,5.6,3.96,-2.14
E2,De-escalation,USO,6.07,45.1,47.6,2.4,OVX,73.0,75.8,2.8,14.55,-8.48
E2,De-escalation,JETS,0.42,36.3,28.4,-7.9,VIX,17.9,18.7,0.8,3.57,-3.15
E2,De-escalation,SPY,5.07,8.4,11.7,3.3,VIX,17.9,18.7,0.8,3.57,1.5
E2,De-escalation,XLE,-0.12,20.5,11.1,-9.4,OVX,73.0,75.8,2.8,14.55,-14.43
E2,De-escalation,XLY,5.14,16.7,11.3,-5.5,VIX,17.9,18.7,0.8,3.57,1.56
E2,De-escalation,XLV,-2.12,13.4,11.4,-2.0,VIX,17.9,18.7,0.8,3.57,-1.45
E2,De-escalation,GLD,-0.89,19.7,25.4,5.8,VIX,17.9,18.7,0.8,3.57,-2.69
E3,De-escalation,USO,-17.68,46.0,31.4,-14.6,OVX,54.1,46.6,-7.5,10.78,6.9
E3,De-escalation,JETS,12.56,65.0,21.3,-43.8,VIX,17.7,17.3,-0.4,3.52,9.04
E3,De-escalation,SPY,-0.51,19.0,15.7,-3.3,VIX,17.7,17.3,-0.4,3.52,-3.01
E3,De-escalation,XLE,-5.96,25.8,19.8,-5.9,OVX,54.1,46.6,-7.5,10.78,-4.82
E3,De-escalation,XLY,-1.22,25.5,24.3,-1.1,VIX,17.7,17.3,-0.4,3.52,-2.31
E3,De-escalation,XLV,0.13,14.9,18.9,4.0,VIX,17.7,17.3,-0.4,3.52,-3.39
E3,De-escalation,GLD,-5.02,42.7,17.1,-25.7,VIX,17.7,17.3,-0.4,3.52,1.5
